case_id,hsa-mir-155,hsa-mir-146a,hsa-mir-21,hsa-mir-150,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-200c,hsa-mir-200a,hsa-mir-200b,hsa-mir-34a,hsa-mir-23a,hsa-mir-23b,hsa-mir-27a,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-10a,hsa-mir-10b,hsa-mir-126,hsa-mir-181a-1,hsa-mir-181a-2,hsa-mir-181b-1,hsa-mir-181b-2,hsa-mir-100,hsa-mir-101-1,hsa-mir-101-2,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-124-1,hsa-mir-124-2,hsa-mir-124-3,hsa-mir-223,hsa-mir-30a,hsa-mir-30b,hsa-mir-30c-1,hsa-mir-30c-2,hsa-mir-30d,hsa-mir-30e,num_patches,file
TCGA-OR-A5JJ,6.9468,4.5668,17.038,6.1898,10.2781,3.9906,4.3828,0.438,0.0,9.8774,10.7459,8.7089,9.2204,9.1182,12.8614,9.2643,9.3021,9.9908,14.0012,16.531,11.3571,11.8938,10.5259,10.3259,5.0717,11.6077,13.2727,6.1828,14.6522,15.6417,14.6459,14.8625,10.9737,10.4345,12.4413,7.2251,15.6746,8.2725,2.2932,4.6093,3.82,6.548,7.1728,9.0397,12.7127,4.1432,3.4964,3.6673,4.7491,13.4019,9.5584,1.0455,9.3507,13.5635,13.0985,No WSI Data,No WSI Data
TCGA-OR-A5JK,8.5069,5.7804,16.1964,9.3012,9.6249,4.1985,4.2939,1.6763,1.4186,8.299,11.0648,8.9398,8.7509,8.3759,12.7176,9.6741,9.7545,11.5374,14.0415,18.273,11.9162,11.8589,9.2249,9.0204,3.57,11.0085,13.9261,6.3098,12.0116,13.0037,12.0206,12.932,10.3807,8.4797,10.4707,4.4676,12.0172,7.7578,1.8114,4.3168,1.8538,5.713,6.6594,7.6349,11.5296,0.0,0.0,0.0,6.8649,14.0831,8.3854,0.5042,9.2102,12.9827,13.6778,No WSI Data,No WSI Data
TCGA-OR-A5JL,5.2041,3.1349,13.4918,6.8592,9.7737,4.1212,4.8756,1.6889,1.0786,7.0131,9.8286,7.8787,8.2703,7.7653,12.5848,10.2981,10.4001,10.828,13.0647,17.5967,12.7547,10.9635,9.4811,8.9675,4.3548,8.0474,12.2753,4.8756,12.4939,13.4818,12.5218,13.0461,10.9856,9.0837,11.764,5.7047,13.1684,7.2449,2.3702,4.1888,2.2061,5.9836,5.9319,7.8035,11.8389,0.0,0.0,0.0,6.7367,14.1815,8.4428,0.3539,9.7167,12.0893,13.4136,No WSI Data,No WSI Data
TCGA-OR-A5JM,6.8785,0.3922,15.839,2.0439,8.2515,0.9539,3.0328,0.0,0.0,8.1465,12.542,8.9485,10.3871,8.9134,10.336,7.0102,7.2452,8.1513,15.0229,17.4434,10.0422,11.7763,9.542,9.9997,4.8712,13.1648,11.1084,3.0328,13.9301,14.9211,13.9654,13.7104,7.8791,10.3369,12.3647,6.4745,14.483,8.0914,2.6215,3.6504,1.3571,5.1052,7.2876,6.9422,11.487,0.0,0.0,0.0,3.5768,11.146,8.2088,1.0657,9.4985,12.9314,13.6289,2000.0,TCGA-OR-A5JM.pt
TCGA-OR-A5JO,7.1145,6.4667,18.1162,9.3499,9.7666,4.9023,3.9326,2.8999,3.1778,8.9663,10.5992,10.5572,8.9372,10.6331,12.4438,8.5444,8.6942,10.3443,12.8979,17.8231,10.6439,11.3442,9.3874,8.6308,4.2331,9.4952,13.5206,7.4455,12.9132,13.8931,12.9072,13.0377,11.8588,8.3396,10.9763,5.5651,13.4023,8.3353,3.343,4.617,2.102,6.9648,7.6049,9.0127,12.528,0.0,0.0,0.0,7.613,14.0521,9.48,1.0688,10.2498,12.8957,13.1945,No WSI Data,No WSI Data
TCGA-OR-A5JP,4.7496,2.6451,16.2431,4.7088,8.6807,3.5249,4.8088,6.2315,5.9053,7.4908,10.5725,8.5467,8.5817,8.2863,10.3936,7.1455,7.2682,7.0628,14.6409,17.7408,11.5393,11.9719,9.8632,10.1797,5.577,9.8757,11.5852,4.5675,13.2932,14.2912,13.3115,12.9313,10.5557,10.6743,12.8071,6.1499,14.2851,8.0513,2.4106,3.6808,2.0011,5.3765,6.9708,7.8383,11.6696,0.0,0.0,0.0,4.3457,14.6523,7.4277,0.808,9.5592,12.5665,13.54,No WSI Data,No WSI Data
TCGA-OR-A5JQ,6.9998,4.7536,16.7661,9.2921,10.7658,5.9798,2.569,1.2054,0.7871,8.6151,11.3076,8.7539,9.1904,8.7413,12.3184,8.4966,8.5723,10.4985,13.7041,16.7513,11.621,12.3276,9.653,9.1541,4.6983,10.6858,13.2707,6.0191,12.8596,13.8499,12.8763,12.5015,11.6215,9.3657,12.4778,4.8584,13.8237,7.3302,1.9644,2.6379,1.0114,4.6902,6.4582,7.4173,11.245,0.0,0.1955,0.0,5.9798,13.9887,7.587,1.1117,8.9479,12.1251,13.0061,1084.0,TCGA-OR-A5JQ.pt
TCGA-OR-A5JR,5.5915,4.8944,14.9752,6.5071,10.8668,4.8762,2.8016,1.4221,0.2469,8.5898,10.8081,8.5981,8.5189,8.5011,13.0525,9.921,9.9564,9.939,12.0623,17.2374,11.951,12.3442,10.1361,9.1807,4.4774,12.4197,13.3128,5.9286,12.5262,13.5217,12.5117,12.4801,11.5389,10.0265,12.5918,4.6801,13.5196,7.0888,1.0839,2.6809,1.6958,4.7418,6.4681,7.8243,11.2739,0.2469,0.2469,0.0,5.9764,14.4055,9.9235,1.5192,10.536,14.0646,14.461,No WSI Data,No WSI Data
TCGA-OR-A5JS,5.6053,2.8384,16.5457,6.7569,9.3327,2.9383,5.83,1.9009,1.9654,9.3002,11.3357,8.6002,9.6875,8.7463,12.111,10.0298,10.1867,12.402,12.8499,17.6519,11.9113,11.1143,8.3647,9.1697,4.0339,9.228,12.8249,5.2381,13.2756,14.2817,13.287,13.3139,9.2517,8.3848,11.2491,5.2895,13.9901,8.1799,2.4891,4.2174,1.2432,6.0356,7.553,7.4439,11.5241,0.0,0.0,0.0,6.5489,12.6995,8.4262,1.0182,9.0851,12.7657,12.7974,No WSI Data,No WSI Data
TCGA-OR-A5JT,4.8096,2.6353,16.3509,5.4914,11.8458,5.7226,2.5576,0.4069,0.7239,8.1816,11.0915,8.1238,8.5421,7.6538,12.2066,9.2199,9.3759,10.0537,11.7438,17.4975,11.0595,13.326,9.105,10.3422,4.859,10.7137,13.1412,6.454,14.0084,15.0024,14.0051,14.0501,12.9543,9.864,13.1512,5.9449,14.7449,7.5447,0.7239,3.3853,1.9754,4.7232,6.9749,7.5746,11.1727,0.0,0.0,0.0,5.5427,14.0284,11.0789,1.5631,10.3436,14.4905,13.7344,No WSI Data,No WSI Data
