case_id,PECAM1|CD31,ITGA2|CD49b,PDCD4|PDCD4,STAT3|STAT3_pY705,STAT5A|STAT5-alpha,FOXO3|FOXO3a,FOXO3|FOXO3a_pS318_S321,NFKB1|NF-kB-p65_pS536,JUN|c-Jun_pS73,AKT1S1|PRAS40_pT246,FRAP1|mTOR,FRAP1|mTOR_pS2448,EIF4EBP1|4E-BP1_pS65,PRKCA |PKC-alpha_pS657,PRKCD|PKC-delta_pS664,PKC|PKC-pan_BetaII_pS660,RPS6|S6,RPS6|S6_pS235_S236,RPS6|S6_pS240_S244,RPS6KB1|p70S6K,RPS6KB1|p70S6K_pT389,RPS6KA1|p90RSK,RPS6KA1|p90RSK_pT359_S363,MAPK1|ERK2,MAPK14|p38,MAPK14|p38_pT180_Y182,MAPK9|JNK2,MAPK8|JNK_pT183_pY185,SRC|Src,SRC|Src_pY416,SRC|Src_pY527,SYK|Syk,TP53BP1|53BP1,TP53|p53,CDKN1A|p21,CDKN1B|p27,CDKN1B|p27_pT157,CDKN1B|p27_pT198,ERBB2|HER2,ERBB2|HER2_pY1248,ERBB3|HER3,ERBB3|HER3_pY1289,RBM15|RBM15,RB1|Rb_pS807_S811,CCND1|Cyclin_D1,CCNE1|Cyclin_E1,BAD|Bad_pS112,BAX|Bax,BCL2|Bcl-2,BCL2L1|Bcl-xL,BCL2L11|Bim,CASP7|Caspase-7_cleavedD198,ACACA|ACC1,FASN|FASN,KDR|VEGFR2,EGFR|EGFR,EGFR|EGFR_pY1068,EGFR|EGFR_pY1173,ATM|ATM,CHEK1|Chk1,CHEK1|Chk1_pS345,CHEK2|Chk2,CHEK2|Chk2_pT68,BECN1|Beclin,XRCC5|Ku80,tcell_signaling_score,stat_signaling_score,nfkb_signaling_score,pi3k_akt_pathway_score,mapk_pathway_score,num_patches,file
TCGA-OR-A5LH,0.2967,0.0092,0.3433,0.1328,0.4115,0.3072,0.0346,-0.0552,-0.1163,-0.3458,-0.1304,0.5978,-0.4855,0.575,0.2955,0.0575,-0.2964,0.4312,0.3189,-0.241,0.3881,0.3522,0.6506,-0.2057,-0.1416,-0.2974,0.3974,-0.0198,-0.2501,0.2164,0.0933,0.0828,-0.4024,0.3016,-0.0084,-0.2358,0.0339,-0.1362,0.1465,0.2488,0.9498,0.0362,-0.8977,-0.0713,0.0372,-0.7306,-0.2864,-0.3505,0.2488,-0.3146,0.023,0.1067,0.2937,0.2694,-0.4337,-0.2735,0.2258,0.0339,-0.4759,0.1127,0.0009,0.055,0.2103,0.3884,-0.1434,0.2164,0.27215,-0.0552,0.15483571428571427,-0.05342,No WSI Data,No WSI Data
TCGA-OR-A5LJ,-0.2207,0.9861,0.1353,0.0231,-0.0528,-0.2638,-0.1883,-0.4678,-0.115,-0.2381,0.0312,0.0827,-0.1603,-1.3586,-0.5568,-0.9093,0.079,-0.6251,-0.3219,-0.2185,-0.2302,0.3698,0.0239,0.4586,-0.2454,-0.9016,0.2865,-0.2847,0.0356,0.2503,-0.1078,0.042,0.1826,-0.2096,-1.1533,-0.0147,-0.0311,0.0258,-0.0466,-0.0402,-0.2321,0.0763,0.5994,-0.3311,0.2879,0.0605,-0.1481,-0.2523,-0.2615,0.4176,0.5752,0.6316,0.0961,-0.399,0.2528,-0.128,-0.1288,0.0432,-0.2175,0.038,0.1695,0.1674,0.495,-0.0078,0.5169,0.3002333333333333,-0.01485,-0.4678,-0.28801428571428567,-0.13732,No WSI Data,No WSI Data
TCGA-OR-A5LK,0.1506,-0.1052,0.4952,0.2323,0.1307,0.2164,0.0575,0.3591,0.014,-0.1415,-0.1464,0.425,-0.2866,0.027,-0.0083,-0.25,-0.3211,-0.1191,-0.0776,-0.3409,0.2443,-0.1917,0.2849,-0.4119,0.0484,0.1546,0.2027,0.0769,-0.1923,0.0387,0.1358,0.9972,-0.358,0.0989,0.5958,0.724,-0.0004,-0.0835,-0.0275,0.0273,-0.1579,0.0543,-0.4849,-0.0891,0.4572,-0.8895,0.1694,-0.294,0.2587,0.151,0.5253,0.2167,-0.6312,-1.3528,-0.2413,-0.185,-0.0811,0.0194,0.0784,-0.0881,0.0273,-0.0695,0.1222,0.0011,-0.0927,0.1802,0.1815,0.3591,-0.06442857142857143,0.014139999999999991,No WSI Data,No WSI Data
TCGA-OR-A5LL,-0.2435,1.0754,0.6925,0.1469,0.9245,-0.0002,0.1823,1.1761,-0.4008,0.2144,-0.0488,0.3357,-0.174,1.8255,0.5695,1.2498,0.0091,0.9828,0.2701,0.2221,-0.0172,-0.1019,-0.1891,1.09,-0.0939,0.3648,0.3317,-0.3802,0.4591,0.0307,0.3521,0.121,0.5149,-0.4041,-0.4431,0.1283,-0.0759,0.1483,0.2593,0.2263,-0.3687,0.041,0.1236,-0.2984,-0.0203,-1.0089,0.8874,-0.8177,-0.2123,-0.1495,0.7184,-0.2143,0.2448,-1.3965,0.8969,1.0646,0.4897,0.1071,0.8023,-0.4845,-0.129,-0.2584,-0.5754,-0.1077,0.2526,0.5081333333333333,0.5357,1.1761,0.36771428571428577,0.26248000000000005,No WSI Data,No WSI Data
TCGA-OR-A5LM,0.0153,-0.0269,-0.6129,0.0528,0.3131,-0.003,0.1494,0.1125,-0.155,-0.0696,0.0861,0.2005,-0.0463,0.6251,0.2313,0.0214,0.2536,1.2384,1.0535,0.4956,0.1252,-0.4905,-0.0043,-0.4483,0.4255,-0.462,0.4232,0.0904,0.5775,-0.1492,-0.4515,-0.1594,0.8581,0.045,-1.0815,-0.1617,-0.0529,-0.0499,0.0937,-0.0529,0.7644,-0.0503,-0.2497,-0.1394,-0.2671,0.4364,-0.2747,-0.0241,-0.0148,-0.0143,-0.0882,0.0941,0.6181,0.7926,-0.469,0.1134,-0.0875,-0.0162,-0.6543,-0.0194,0.1905,-0.1396,0.0784,0.1145,-0.2683,-0.2081666666666667,0.18295,0.1125,0.26571428571428574,0.005760000000000001,1567.0,TCGA-OR-A5LM.pt
TCGA-OR-A5LN,0.2173,-0.0752,-0.6387,-0.0188,1.0285,0.3004,0.03,0.2413,-0.1568,-0.1107,0.0314,0.3848,-0.2455,2.3257,1.2595,1.0325,-0.1799,0.1633,-0.0432,0.0788,0.5941,-0.3061,0.2094,-0.3269,0.1483,0.0231,-0.2105,0.0883,0.2558,-0.0784,0.6483,0.7211,0.4209,0.1322,-0.3596,0.3473,-0.0411,-0.0261,-0.0758,-0.0623,-0.0465,0.0473,-0.1689,-0.0937,0.1638,-1.0475,0.1955,-0.1194,0.2427,0.0256,0.0739,0.2845,0.1965,-0.3571,-0.5566,-0.1874,-0.1718,-0.0334,0.2485,-0.1398,-0.004,-0.1549,0.0475,0.0297,-0.2115,-0.16553333333333337,0.50485,0.2413,0.3710071428571428,-0.05554,No WSI Data,No WSI Data
TCGA-OR-A5LO,0.1512,-0.0489,-0.7247,-0.303,-1.2223,0.0217,-0.1499,-0.2708,-0.2486,-0.2204,0.0985,-0.066,-0.006,-0.3058,-0.3205,-1.0313,0.0569,-0.7956,-0.5275,0.3845,0.1116,0.0412,0.0736,0.1237,-0.0264,-0.6999,0.323,-0.0149,0.0529,0.0692,-0.0566,-0.7392,0.6209,0.0722,-0.6116,0.2659,0.0418,-0.0151,-0.0399,0.1288,0.0968,-0.141,-0.0548,-0.3812,0.0006,0.9255,-0.588,-0.0117,0.0038,0.0577,-0.02,0.0975,-0.8076,0.8267,-1.1979,0.3498,0.2765,0.0328,-0.0204,-0.0273,-0.261,-0.0078,0.1027,0.0478,0.1201,-0.2074666666666667,-0.7626499999999999,-0.2708,-0.17905714285714283,-0.058899999999999994,2000.0,TCGA-OR-A5LO.pt
TCGA-OR-A5LP,0.5233,0.0026,-0.9703,-0.002,-0.3559,0.613,0.003,-0.0301,0.1996,-0.4543,-0.3793,0.2821,-0.4015,1.1652,0.4068,-0.0969,-0.3467,0.0709,0.011,-0.3242,0.5978,-0.2299,0.2273,-0.5267,-0.6781,-0.4687,0.0305,0.1515,-0.1002,0.2006,-0.669,0.002,-0.5413,0.5516,-1.2786,-0.3038,0.1201,0.0062,0.1793,0.4268,-0.1331,0.1593,-0.7046,-0.0461,-0.1016,-0.8987,-0.2586,-0.1411,0.4628,0.0512,0.0478,0.1298,-0.5187,-0.8756,-0.5839,0.0272,0.5384,-0.0235,-0.9011,0.4883,0.0219,-0.0781,0.2406,0.1519,-0.1351,-0.14813333333333334,-0.17895,-0.0301,0.03773571428571428,-0.2983,No WSI Data,No WSI Data
TCGA-OR-A5LS,0.2406,0.241,-1.1717,-0.3193,-0.4167,0.2317,-0.0314,-0.2617,-0.2527,-0.4757,-0.0271,0.0826,-0.1633,-1.2751,-0.3032,-1.0215,0.0168,-0.4698,-0.3512,-0.1376,0.1546,0.2691,0.195,-0.418,0.1326,-0.7776,0.2018,-0.0525,0.0889,0.0809,-0.9756,-0.3453,-0.407,0.2281,-1.2784,-0.2232,0.003,0.096,0.1349,0.1333,1.2931,-0.059,-0.5744,-0.366,-0.145,-0.2117,-0.7472,-0.2071,0.2649,-0.3268,-0.207,0.0805,-0.0009,-0.3192,-0.0767,0.2753,0.0587,-0.0604,-0.4873,0.0009,-0.2371,-0.1918,0.174,0.1692,-0.2003,-0.2300333333333333,-0.368,-0.2617,-0.2504571428571428,-0.18273999999999999,1044.0,TCGA-OR-A5LS.pt
TCGA-OR-A5LT,-0.1527,-0.159,-0.3552,0.0213,0.5207,0.0863,-0.0632,0.5164,0.3287,0.2525,0.2616,0.2863,0.0321,2.3129,1.2934,1.4589,0.0863,-0.4213,0.0396,0.571,0.5256,-0.1467,-0.1232,-0.2208,-0.2601,0.4275,0.5089,0.2383,0.2121,-0.0767,0.266,-0.558,-0.5706,-0.0656,0.597,-0.0024,-0.0558,-0.1282,0.027,-0.0039,-0.4604,0.046,-0.0669,1.0885,0.0711,-0.1747,0.8226,0.2131,-0.2123,0.0324,0.1496,-0.0495,0.0473,-0.1399,0.4267,-0.1817,0.0372,0.018,-2.1193,-0.0919,0.2052,-0.0551,-0.0043,0.0804,-0.1836,-0.22230000000000003,0.271,0.5164,0.4592142857142857,0.13876,No WSI Data,No WSI Data
TCGA-OU-A5PI,0.1442,0.4855,0.691,0.4883,-0.2522,-0.0279,0.2354,0.0237,-0.1163,0.0101,-0.1635,0.2465,-0.1251,-0.5802,-0.2494,-0.5415,-0.0506,0.5303,0.2417,-0.2989,-0.1155,-0.0905,0.0175,0.2653,0.063,0.3484,0.138,0.1168,0.1449,-0.0226,0.6537,0.8535,-0.0657,-0.1036,-0.7335,-0.1529,-0.1063,-0.1027,0.5972,0.0306,-0.1495,-0.0149,-0.1758,-0.1232,-0.9722,-0.4118,-0.0613,-0.0105,0.2451,0.4306,-0.0444,0.0992,-0.2589,-0.1555,0.3153,-0.058,-1.1357,-1.0147,0.3659,-0.3204,-0.1609,-0.172,0.0165,-0.0034,-0.0252,0.4402333333333333,0.11805000000000002,0.0237,-0.08350714285714286,0.1863,24.0,TCGA-OU-A5PI.pt
TCGA-P6-A5OG,0.2036,1.0302,-0.2638,0.4185,-2.1331,-0.0854,-0.0457,0.5498,-0.2042,-0.4236,-0.7839,-0.4003,0.0898,-2.0112,-0.527,-0.4581,-0.7879,0.2547,-0.4552,-0.3588,-0.0662,0.2041,0.7183,0.1035,0.9737,0.5707,-0.7849,0.0663,-0.1148,2.5819,1.1856,2.0168,-1.2226,-0.1633,1.7226,-0.5017,-0.2315,0.0856,-0.0677,0.0939,1.9659,0.115,-0.5508,0.3387,0.7699,-1.2647,-0.6404,0.146,0.2165,0.1212,-0.3722,0.9077,-0.6934,-0.507,-0.1446,-0.2925,-0.6538,-0.1165,0.581,0.8196,-0.5456,0.8785,0.514,0.7422,-0.9494,0.3233333333333333,-0.8573000000000002,0.5498,-0.35752142857142866,0.18586,31.0,TCGA-P6-A5OG.pt
TCGA-PA-A5YG,0.751,0.2787,-0.3974,0.2178,-0.0025,0.8097,0.1968,0.3072,0.217,-0.3272,-0.829,0.2043,-0.2912,0.2038,0.2278,-0.5072,-1.0679,0.1021,0.0724,-0.7529,0.7436,0.021,0.4551,-0.6189,-0.6643,-0.1713,-0.2984,0.3875,-0.3554,0.4063,0.2943,0.2894,-1.0296,0.7755,-0.2772,-0.1706,0.1752,0.0333,0.1244,0.5991,0.0873,0.0173,-0.8562,0.2259,-0.127,-1.0821,-0.0938,-0.1669,0.6506,-0.1039,0.0259,0.1859,-1.2132,-1.017,-0.8895,0.0117,0.7996,-0.0895,-0.9612,0.6103,0.0667,0.1826,0.3726,0.2413,-0.1543,0.21076666666666669,0.10765,0.3072,-0.12466428571428571,-0.27308,15.0,TCGA-PA-A5YG.pt
TCGA-PK-A5H8,0.1329,-0.0509,0.0965,-0.1042,-0.2584,-0.0185,0.0194,-0.2054,-0.035,0.0481,0.1266,0.0763,-0.2177,1.6226,0.6115,0.4271,-0.0007,-0.2333,0.0293,-0.1028,0.2899,-0.4622,-0.0928,-0.6658,-0.0227,-0.5999,0.6428,-0.0343,0.0339,-0.0331,-0.9393,0.1033,0.1558,0.109,-0.0131,0.0803,-0.0156,-0.106,0.1316,-0.0402,-0.0126,0.1686,-0.0675,-0.0592,0.037,1.055,-0.2529,0.7866,-0.0695,0.2018,-0.2746,-0.0313,-0.6786,-0.5891,0.6701,0.3194,0.0007,-0.0111,-0.2458,0.0498,0.1208,-0.046,-0.0349,-0.0403,0.0552,0.0595,-0.18130000000000002,-0.2054,0.15156428571428568,-0.13598,1681.0,TCGA-PK-A5H8.pt
TCGA-PK-A5H9,0.2439,-0.3862,0.411,0.4585,0.5624,0.1819,0.4664,0.8378,-0.0822,0.3411,-0.1306,0.2147,-0.218,0.503,-0.0151,0.4222,-0.6006,-0.0114,0.1311,-0.2728,0.0972,-0.383,0.0715,-0.1555,0.3865,0.6673,-0.0101,0.3458,0.0667,1.6611,2.5805,0.072,-0.2484,0.0689,0.5139,0.141,-0.0489,-0.1521,0.679,0.4831,2.0914,0.3037,-0.4444,-0.1273,0.6541,-0.2167,0.1125,0.1252,0.8744,0.0469,-0.3655,0.1082,0.2225,-0.4713,0.8716,-0.6914,0.2737,-0.2176,1.1996,-0.1499,-0.1232,-0.1807,-0.0084,-0.0664,-0.0473,0.08956666666666667,0.5104500000000001,0.8378,0.010664285714285722,0.2468,No WSI Data,No WSI Data
TCGA-PK-A5HA,0.2283,-0.3402,0.1008,0.1786,0.1131,0.288,0.2199,1.0827,0.5493,-0.1213,-0.3103,-0.107,-0.0545,1.8738,0.8429,0.5707,-0.2466,-0.2146,-0.2224,-0.3108,0.5076,-0.4662,0.268,-0.552,0.0994,-0.301,-0.1423,0.1022,-0.3922,0.3695,-0.1213,0.7072,-0.1241,0.18,0.2969,0.01,0.0691,-0.0281,0.0144,0.1181,-0.2374,0.092,-0.2547,0.189,0.0521,-0.8056,-0.0018,0.4494,0.0618,-0.3231,0.0463,0.114,-1.2479,-1.055,-0.0351,-0.346,0.0402,0.0269,-0.3303,0.0018,0.1548,-0.1219,0.192,-0.0997,-0.1894,-0.0036999999999999997,0.14585,1.0827,0.14352142857142855,-0.15874000000000002,28.0,TCGA-PK-A5HA.pt
