case_id,PECAM1|CD31,ITGA2|CD49b,PDCD4|PDCD4,STAT3|STAT3_pY705,STAT5A|STAT5-alpha,FOXO3|FOXO3a,FOXO3|FOXO3a_pS318_S321,NFKB1|NF-kB-p65_pS536,JUN|c-Jun_pS73,AKT1S1|PRAS40_pT246,FRAP1|mTOR,FRAP1|mTOR_pS2448,EIF4EBP1|4E-BP1_pS65,PRKCA |PKC-alpha_pS657,PRKCD|PKC-delta_pS664,PKC|PKC-pan_BetaII_pS660,RPS6|S6,RPS6|S6_pS235_S236,RPS6|S6_pS240_S244,RPS6KB1|p70S6K,RPS6KB1|p70S6K_pT389,RPS6KA1|p90RSK,RPS6KA1|p90RSK_pT359_S363,MAPK1|ERK2,MAPK14|p38,MAPK14|p38_pT180_Y182,MAPK9|JNK2,MAPK8|JNK_pT183_pY185,SRC|Src,SRC|Src_pY416,SRC|Src_pY527,SYK|Syk,TP53BP1|53BP1,TP53|p53,CDKN1A|p21,CDKN1B|p27,CDKN1B|p27_pT157,CDKN1B|p27_pT198,ERBB2|HER2,ERBB2|HER2_pY1248,ERBB3|HER3,ERBB3|HER3_pY1289,RBM15|RBM15,RB1|Rb_pS807_S811,CCND1|Cyclin_D1,CCNE1|Cyclin_E1,BAD|Bad_pS112,BAX|Bax,BCL2|Bcl-2,BCL2L1|Bcl-xL,BCL2L11|Bim,CASP7|Caspase-7_cleavedD198,ACACA|ACC1,FASN|FASN,KDR|VEGFR2,EGFR|EGFR,EGFR|EGFR_pY1068,EGFR|EGFR_pY1173,ATM|ATM,CHEK1|Chk1,CHEK1|Chk1_pS345,CHEK2|Chk2,CHEK2|Chk2_pT68,BECN1|Beclin,XRCC5|Ku80,tcell_signaling_score,stat_signaling_score,nfkb_signaling_score,pi3k_akt_pathway_score,mapk_pathway_score,num_patches,file
TCGA-OR-A5K6,-0.014,0.577,0.8628,0.4268,0.6338,-0.1239,0.051,-0.3163,-0.0163,-0.0676,0.3541,0.133,0.057,-1.273,-0.0271,1.0143,0.2303,0.3555,0.2189,0.3639,-0.1659,0.64,-0.1366,0.8033,0.7909,1.6238,-0.1753,-0.1242,0.1733,-0.053,1.2629,0.6702,0.3289,-0.2879,0.2648,-0.027,0.0153,0.0791,0.0771,-0.1456,-0.3594,-0.0305,0.4866,-0.0427,0.0816,-0.5538,0.453,-0.0245,0.1139,-0.0487,0.2333,-0.0229,0.2957,2.5256,-0.0502,-0.3045,-0.4835,0.0644,0.3273,-0.4717,-0.1358,-0.0076,-0.1994,-0.1124,0.2197,0.47526666666666667,0.5303,-0.3163,0.1212,0.5837,No WSI Data,No WSI Data
TCGA-OR-A5K8,0.1255,-0.2262,1.1973,0.1331,-0.5444,0.184,0.2259,-0.037,0.3857,0.1144,0.0188,0.3691,0.14,0.3202,0.1959,0.0062,0.1193,0.2303,0.1845,-0.1488,0.1286,-0.3718,0.138,-0.2935,-0.3058,-0.092,0.307,-0.0212,0.2592,0.2921,0.151,-0.54,0.1094,0.101,0.6424,-0.2236,-0.0491,-0.092,0.0103,0.1448,-0.1845,-0.0836,0.0895,0.4958,-0.1519,0.1403,0.2726,0.0306,-0.043,0.2094,-0.1042,0.0013,-0.1396,-0.324,-0.3378,0.3816,0.2381,-0.0545,0.5749,-0.0013,0.2083,-0.0417,-0.0628,-0.0014,-0.0151,0.3655333333333333,-0.20565,-0.037,0.10319285714285716,-0.08109999999999999,1385.0,TCGA-OR-A5K8.pt
TCGA-OR-A5KO,-0.3185,-0.3905,1.4727,-0.1636,-0.1645,-0.3785,0.0339,-0.1595,0.9641,0.3591,-0.6626,-0.0733,0.0955,-0.7572,-0.171,0.1882,0.8181,0.5338,0.5615,-0.1658,-0.2565,-0.2763,-0.2282,0.0364,0.324,0.7449,0.4809,0.2303,-0.0014,-0.0437,0.5736,-0.6989,0.0974,-0.3724,0.5956,0.0328,-0.0982,-0.0011,0.0162,-0.0672,-0.3723,0.3781,0.7101,0.1968,-0.0127,0.4214,0.1987,-0.1047,-0.5777,0.0954,-0.2976,-0.2733,0.0009,0.3111,0.7249,0.1718,0.0279,-0.0596,0.4007,0.1954,0.087,0.1049,-0.1307,-0.0575,-0.2549,0.2545666666666666,-0.16405,-0.1595,-0.0024785714285714194,0.3633,No WSI Data,No WSI Data
TCGA-OR-A5KU,-0.1522,0.1734,-0.6352,-0.111,-1.0391,-0.0108,-0.019,0.3624,0.3988,-0.0883,-0.5272,-0.0556,0.0831,0.4698,-0.1715,-0.3276,-0.3627,-0.0285,0.001,0.036,0.1846,-0.8961,0.4072,-0.4694,-0.1949,-0.1413,-0.0463,0.0679,0.2231,0.0814,0.5507,0.0158,-1.2747,-0.1965,0.7961,-0.0481,0.0689,0.1859,0.4212,0.2655,0.0669,0.2037,-0.4808,0.5196,0.5257,-0.2163,0.0195,-0.0167,-0.2099,0.2751,0.6732,0.6004,-0.7269,-0.3106,-0.5908,-0.0165,-0.1558,0.2839,-0.5413,-0.5316,-0.0134,-0.1858,0.2139,-0.0707,-0.4091,-0.20466666666666666,-0.57505,0.3624,-0.09112857142857143,-0.1568,No WSI Data,No WSI Data
TCGA-OR-A5KW,-0.0954,-0.473,1.0167,0.23,-0.8685,-0.361,0.0273,-0.5105,0.2514,0.268,-0.3443,0.111,-0.0313,0.0024,-0.1166,0.1117,0.0902,0.1305,0.1608,0.1948,-0.2182,-0.2382,-0.1014,0.483,-0.0973,0.4063,0.2455,-0.0745,-0.1117,0.2968,0.2996,0.2133,1.0252,-0.3919,0.2792,-0.2656,-0.0395,-0.014,0.0855,0.4739,-0.3424,0.2377,0.0812,0.0006,-0.179,-0.3451,0.1166,0.5147,-0.2779,-0.0543,0.2896,-0.0732,0.9309,0.8674,0.04,0.7723,1.0455,0.0722,0.4611,-0.2084,-0.0134,0.0123,-0.197,-0.1302,-0.0141,0.14943333333333333,-0.31925000000000003,-0.5105,0.0013857142857142829,0.19259999999999997,No WSI Data,No WSI Data
TCGA-OR-A5KX,0.0134,-0.5194,-0.7941,0.0875,-0.0772,0.0546,-0.0519,0.2141,-0.2546,0.0156,-0.35,-0.3774,0.3081,1.5517,0.4217,0.0078,-0.2143,-0.787,-0.448,-0.1016,0.3486,0.0641,0.3849,-0.3214,0.2638,-0.2486,-0.7876,0.0242,0.4452,0.113,0.8317,-0.1093,0.1519,0.0234,-0.2128,0.1251,-0.0642,0.0347,0.0554,-0.0103,-0.0902,0.0171,0.7507,0.3325,0.3643,0.5669,-0.0581,0.2314,-0.0018,-0.0968,0.1635,0.409,0.1129,-0.6239,0.1608,-0.1265,0.0554,-0.0346,-0.0526,0.1052,-0.1404,0.1056,0.1863,0.1787,-0.0495,-0.4333666666666666,0.005149999999999995,0.2141,0.05887142857142859,-0.21392000000000003,No WSI Data,No WSI Data
TCGA-OR-A5KY,-0.121,-0.0219,0.2176,0.132,-1.2949,-0.0289,0.4118,-0.2973,-0.0377,0.2618,-0.0433,-0.0454,0.0455,-1.1996,-0.3979,0.2015,-0.0452,-0.4326,-0.2131,0.0324,-0.2192,0.1423,-0.0823,0.6591,-0.0027,0.3764,-0.004,-0.0893,0.1212,0.1159,0.5874,-0.2626,-0.3457,0.1629,0.5814,-0.144,-0.0138,-0.0415,0.1111,0.0775,-0.4104,-0.0288,0.3912,1.0376,-0.1907,0.4919,0.3315,-0.1765,-0.1728,0.0396,-0.1943,-0.1893,1.1374,1.7433,-0.3841,0.0204,0.1004,-0.1346,0.5,-0.0271,0.0681,0.2484,-0.051,-0.0758,0.0832,0.024899999999999995,-0.58145,-0.2973,-0.14250714285714286,0.1879,No WSI Data,No WSI Data
TCGA-OR-A5KZ,-0.3803,-0.0852,-0.9245,-0.1156,1.0996,0.122,-0.4288,-0.1097,-0.1819,0.0206,0.0428,-0.4963,-0.0169,-2.1462,-0.6164,-1.4283,0.2451,0.1037,-0.1778,-0.121,-0.365,0.3725,0.0003,0.3304,-0.2445,-0.7213,-0.5462,0.0822,0.5286,-0.1109,-0.1561,-0.5306,0.8616,0.0544,-1.1702,0.1653,-0.0451,0.1001,-0.2415,-0.1422,0.273,0.0507,1.2757,-0.3216,0.0164,0.2127,-0.5597,0.1425,-0.011,-0.1037,-0.4386,0.6236,1.352,0.9123,0.2634,0.2876,-0.4263,0.1016,1.7742,1.075,0.0815,0.4705,0.5556,-0.1992,0.6178,-0.4633333333333334,0.49199999999999994,-0.1097,-0.32735000000000003,-0.21988,No WSI Data,No WSI Data
TCGA-OR-A5LD,-0.0803,-0.2765,-0.1192,-0.219,-1.5329,-0.0378,0.4704,-0.3685,-0.0642,-0.1752,0.2951,-0.201,0.1814,0.2495,0.1296,0.0768,0.5349,-0.5776,-0.2127,0.1717,0.0546,0.0034,0.0498,0.4043,0.3159,-0.4515,-0.9668,-0.1337,0.1884,-0.0277,0.0073,-0.9483,-0.3661,-0.0364,-0.3414,-0.139,-0.0553,0.2107,0.1373,-0.1635,-0.189,-0.0766,1.0207,-0.121,-0.0758,0.5725,-0.0141,0.5922,0.0486,-0.1456,-0.1788,0.4948,-0.137,0.9197,-1.2112,-0.4542,-0.3822,-0.1696,1.1998,0.5809,-0.2682,-0.0296,0.0256,0.2207,0.2954,-0.15866666666666668,-0.87595,-0.3685,0.041449999999999994,-0.16635999999999995,No WSI Data,No WSI Data
TCGA-OR-A5LG,0.2078,0.0781,1.6051,0.3223,0.0536,0.4183,0.1833,0.2015,-0.0963,0.0608,-0.3201,0.4121,-0.1387,-0.5646,0.0853,-0.0141,-0.0333,0.432,0.1954,-0.3672,0.2373,-0.4107,-0.0227,0.0816,-0.1313,0.1541,-0.2059,-0.0859,-0.17,0.0312,0.5703,0.1729,-0.1308,0.3029,0.7144,0.2189,0.0601,-0.0029,0.1297,0.1865,-0.1376,-0.0289,-0.0575,0.2574,-0.1346,-0.5852,0.5273,-0.1439,0.0553,-0.0453,0.1367,-0.0531,-0.2794,0.0549,0.6384,-0.0032,0.2459,-0.1904,0.6598,0.1478,0.033,-0.0871,-0.0638,0.019,0.0239,0.6303333333333333,0.18794999999999998,0.2015,-0.032035714285714285,-0.03748,No WSI Data,No WSI Data
